,post_id,member_id,topic,title,description,source_contrib_factors,challenges,solutions,sentiment,emotion,related_posts,user_tags_for_post,SDG_tags_for_post,post_upvote_cnt,post_share_cnt
14,post_14,member_20,Social Issues,Peace and Justice Strong Institutions: Centralized static moratorium,Provident quis repellat voluptatum quam. regarding peace and justice strong institutions. Facilis quas modi optio sed. Odit inventore vitae repellendus. Enim est pariatur quasi soluta velit voluptas modi. Aspernatur atque culpa suscipit quasi.,Ad occaecati animi optio. contributing to peace and justice strong institutions. Nam dolores nemo numquam vel modi asperiores error. Minus vero reprehenderit tenetur dicta vel.,Challenges in peace and justice strong institutions: Maiores autem quisquam voluptatem quaerat veritatis molestias porro. Voluptatibus perferendis aut iure vero eveniet quasi. Architecto dolor qui nulla occaecati ipsum earum. Animi velit soluta eaque laborum dolores non. Voluptatem dignissimos labore aperiam repellat iste.,Solutions for peace and justice strong institutions: Reiciendis saepe officiis nobis rerum voluptatibus quis tenetur. Assumenda qui deserunt ratione perspiciatis. Magnam nisi architecto accusamus.,-1,Angry,"post_277,post_953,post_539","ex, ipsum, aspernatur","tenetur, alias, maiores",42,13
15,post_15,member_23,Sports,Health: Assimilated grid-enabled workforce,Cupiditate quae quam. regarding health.,Dolores hic possimus. contributing to health.,Challenges in health: Nam nesciunt provident corporis.,Solutions for health: Dolorum explicabo id quibusdam quibusdam sit similique.,-1,Neutral,"post_790,post_793,post_169","modi, impedit, dolores","quos, nostrum, tempora",52,40
16,post_16,member_101,Environment,Life Below Water: Focused content-based Internet solution,Molestias molestias ad vero. regarding life below water. Temporibus velit consequatur officia. Id illo autem maiores dicta voluptatum dolores. Consectetur libero at assumenda quas qui. Ex aspernatur nobis eos adipisci libero. Minus reiciendis amet consequuntur quibusdam doloremque nihil. Nam eum minima labore quam. Quibusdam corporis asperiores possimus magni deserunt autem.,Ea quam laborum dignissimos iure fugit quasi. contributing to life below water. Voluptatem tempora delectus similique blanditiis minima. Magni odio autem. Quisquam repellendus accusantium quisquam.,Challenges in life below water: Unde aperiam quas adipisci ea architecto dolor cum. Architecto deleniti repellendus harum est iste qui deleniti. Neque recusandae repellendus esse.,Solutions for life below water: In fuga modi modi non facilis placeat. Iste maxime rerum aut.,1,Angry,"post_208,post_288,post_147","provident, fugiat, est","magni, sed, officia",9,14
17,post_17,member_43,Responsible Consumption and Production,Good Health and Well-being: La possibilité d'évoluer plus rapidement,Chair nourrir profond accorder frapper absence visible dégager. regarding good health and well-being. Prêter palais larme quarante absence champ soit pont. Compter soirée dès semblable attitude mon bande étroit. Courant autre bois art étaler but position chambre. Admettre noir armée défendre. Liberté attirer midi politique livre pendre nouveau.,Fusil soldat étendue boire inquiétude compte étranger troubler. contributing to good health and well-being. Arme air chasser. Trou long vue couche déclarer rapporter neuf. Échapper remercier témoin mille sens.,Challenges in good health and well-being: Étendre semaine écarter quelqu'un surveiller. User fruit risquer oreille. Groupe sujet pendant résoudre regarder. Grandir vieillard acheter.,Solutions for good health and well-being: Source esprit retirer groupe donc étoile. Somme d'autres tenir franc rouge. Vingt saint rouge franc envie désespoir delà page. Brûler verser hasard sortir maître pur.,-1,Neutral,"post_856,post_682,post_214","trouver, or, beaux","profondément, refuser, droit",51,33
18,post_18,member_61,Environment,Responsible Consumption and Production: Grass-roots optimal architecture,Ahead test whom again wide group draw education. regarding responsible consumption and production.,Determine receive police. contributing to responsible consumption and production.,Challenges in responsible consumption and production: Election black thus together enough our future.,Solutions for responsible consumption and production: Should black rock move ten cut.,0,Happy,"post_746,post_710,post_275","glass, election, note","little, police, bad",18,42
19,post_19,member_110,Social Issues,Technology: Ergonomic scalable hub,Repudiandae quae minus odio ut numquam reiciendis. regarding technology. Incidunt repudiandae excepturi eum officiis porro at. Commodi neque laborum eum qui est error. Similique magni atque architecto dicta natus odit. Quia vitae dolorem. Laborum libero odio nihil culpa. Eius voluptates dolorem eligendi aut provident corporis.,Unde reiciendis suscipit delectus quo dicta rerum. contributing to technology. Saepe sapiente repellendus iusto sapiente commodi a. Perspiciatis dolorum porro ad. Ipsa sunt non.,Challenges in technology: Eveniet eius expedita aperiam quia libero ab facilis. Illo deserunt ducimus quae voluptas quia.,Solutions for technology: Quae aut eius non enim. Quis recusandae odio quam ex amet. Repellendus labore illo aperiam dolores eum. Voluptas corporis blanditiis veritatis neque.,0,Happy,"post_319,post_158,post_386","enim, explicabo, debitis","debitis, dolorum, tenetur",66,15
20,post_20,member_45,Gender Equality,Sustainable Cities and Communities: L'assurance d'innover sans soucis,À mémoire révéler. regarding sustainable cities and communities.,Digne désormais consulter exister extraordinaire venir. contributing to sustainable cities and communities.,Challenges in sustainable cities and communities: Second rencontrer douleur vers céder sortir.,Solutions for sustainable cities and communities: Ensemble répéter est appartenir pareil.,0,Neutral,"post_930,post_315,post_219","pourtant, direction, public","attirer, auprès, mériter",75,21
21,post_21,member_112,Environment,Life Below Water: Automated empowering service-desk,Harum explicabo error autem fugiat facere. regarding life below water.,Consectetur ipsum sint labore excepturi nemo. contributing to life below water.,Challenges in life below water: Nemo ipsam magni rem similique optio rem.,Solutions for life below water: Modi hic explicabo libero unde sint.,1,Happy,"post_803,post_887,post_870","provident, incidunt, pariatur","earum, tenetur, officiis",46,26
22,post_22,member_154,Sports,Peace and Justice Strong Institutions: Adaptive methodical initiative,Dinner new middle think. regarding peace and justice strong institutions. Wrong nature real site light. Son marriage reflect none. Hard newspaper performance girl American.,Response vote serve service to analysis. contributing to peace and justice strong institutions. Foot capital training half voice or again organization.,Challenges in peace and justice strong institutions: Business commercial ground on sense provide. Character discuss sing someone.,Solutions for peace and justice strong institutions: Sea season kind food some civil. Plan final down reality explain may.,0,Angry,"post_131,post_36,post_595","outside, themselves, big","memory, hundred, address",71,15
23,post_23,member_120,Sports,Peace and Justice Strong Institutions: La liberté d'évoluer à l'état pur,Capable diriger frapper commun danger élever engager réalité. regarding peace and justice strong institutions. Malgré loup douleur creuser. Pur complètement exécuter précis charger mais. Aile parmi malheur entourer entier.,Accompagner pourquoi quitter. contributing to peace and justice strong institutions. Pour pleurer caractère peine retrouver quelque hiver voix.,Challenges in peace and justice strong institutions: Déclarer disparaître sombre obéir mort fermer reculer. Père prévenir guerre exécuter signifier pendant examiner.,Solutions for peace and justice strong institutions: Nuit droit service valeur. Boire aller traverser époque.,0,Happy,"post_16,post_549,post_74","île, heureux, reconnaître","lutte, attacher, intérêt",84,39
24,post_24,member_164,Technology,Entertainment: Assimilated fresh-thinking software,Autem itaque consectetur ut enim amet ducimus dolorum. regarding entertainment. Unde dolorem eius facere quam.,Explicabo eligendi ad ducimus corporis. contributing to entertainment. Aspernatur sequi earum quod.,Challenges in entertainment: Perspiciatis eaque mollitia consequuntur repellendus porro. Dolorum impedit nam doloribus velit.,Solutions for entertainment: Omnis eaque porro hic ut ratione. Inventore aperiam magni architecto dolor aspernatur omnis.,1,Angry,"post_36,post_706,post_246","quod, id, reiciendis","excepturi, alias, at",72,27
25,post_25,member_78,Good Health and Well-being,Life on Land: Customer-focused object-oriented function,Libero sit iure iusto. regarding life on land. In fugit magnam autem. Nihil unde sint veniam dolores. Consequatur velit explicabo quae laborum. Cupiditate neque quae molestias ad nemo. Nobis commodi eveniet sit pariatur totam recusandae.,Mollitia earum molestiae nisi ducimus nam ut. contributing to life on land. Repudiandae occaecati nobis esse repellendus neque pariatur suscipit. Doloribus odio molestiae nisi beatae.,Challenges in life on land: Mollitia culpa ipsum vitae doloremque iste modi aliquid. Nihil commodi praesentium soluta. Accusamus similique praesentium ipsum.,Solutions for life on land: Modi dolor nemo eaque doloribus aspernatur. Dolorem suscipit voluptatibus veniam. Omnis nemo maxime omnis veniam.,0,Neutral,"post_305,post_478,post_54","nam, unde, iusto","mollitia, ea, quam",62,10
26,post_26,member_84,Education,Health: Upgradable heuristic adapter,Low ready cultural vote recognize base. regarding health. Ready each history stay. Beautiful production relate special rest risk land. Treatment thing PM vote success company able be.,Material southern executive treatment popular worker. contributing to health. Story south reflect.,Challenges in health: Republican draw industry leg agreement operation. Very west month name.,Solutions for health: Media bit music three nation. Truth official reduce million hope accept car.,-1,Angry,"post_121,post_882,post_241","hot, many, discuss","particularly, water, money",7,7
27,post_27,member_71,Good Health and Well-being,Affordable and Clean Energy: Le droit d'avancer à la pointe,Lequel en quel exiger façon rompre temps. regarding affordable and clean energy.,Lier larme source retomber femme préparer. contributing to affordable and clean energy.,Challenges in affordable and clean energy: Étoile supporter fidèle demi.,Solutions for affordable and clean energy: Ombre mentir joue neuf tapis rapide mal.,0,Happy,"post_19,post_98,post_416","tapis, en, demande","commander, tromper, clair",39,22
28,post_28,member_137,Life Below Water,Zero Hunger: La liberté de changer sans soucis,Aider ouvrage continuer geste page. regarding zero hunger. Sauvage que cerveau bout suivant. Aider révéler oiseau sentiment décider parole. Quinze chaque obliger désormais plutôt énergie remercier. De donner juste devant folie dame silencieux. Parce Que indiquer surtout semaine. Quart monter trembler politique installer voir large admettre.,Attention dessus village jeter combien soi reprendre. contributing to zero hunger. Léger capable celui violence. Lier oublier note choisir malgré presser faux course.,Challenges in zero hunger: Rêver sombre sembler soleil. Sein eau endormir ville long. Personnage d'autres ah rompre oreille lettre bord. Donner nécessaire commencer portier payer.,Solutions for zero hunger: Possible demande apprendre avance paquet. Sol portier nombreux ombre année groupe. Juste décider fortune présenter histoire.,1,Angry,"post_296,post_60,post_473","source, petit, tirer","fixer, chemin, froid",92,3
29,post_29,member_6,Sustainable Cities and Communities,Partnerships to achieve the Goal: L'assurance de rouler de manière efficace,Oiseau sac prêt neuf. regarding partnerships to achieve the goal. Début avenir souhaiter traverser lourd supposer tourner capable. Répondre île froid cours frère. Complet boire représenter sommeil. Liberté sombre roi côté pouvoir. Entier nuage voyage fonction perdre public. Il comment y âgé.,Et joue être air. contributing to partnerships to achieve the goal. Maison précis guère interroger. Depuis quoi sembler argent devant répandre. Écrire douter rare enfoncer. Répondre maintenant pied être exposer mourir.,Challenges in partnerships to achieve the goal: Un gloire soin fou. Établir rapporter accord dieu annoncer. Droite partie raison livrer. Maître sommet vérité couche.,Solutions for partnerships to achieve the goal: Homme installer également été marier français deux rire. Haut anglais éprouver mener vers sac peine. Chef entraîner essuyer. Autrefois nécessaire maladie traîner appartenir couvrir placer roche. Sans renverser en terminer contenir papier siège.,0,Happy,"post_524,post_74,post_450","double, rêve, pénétrer","droite, accrocher, début",47,29
30,post_30,member_13,Technology,Decent Work and Economic Growth: Operative context-sensitive orchestration,Clearly space claim author few case senior. regarding decent work and economic growth. Scene author hundred feeling. Nearly court dark see difference.,There any since but animal. contributing to decent work and economic growth. Turn behavior commercial step.,Challenges in decent work and economic growth: Drive significant how. Mention attorney trade opportunity culture.,Solutions for decent work and economic growth: Design contain tax those same administration year daughter. Key customer box outside student.,-1,Happy,"post_527,post_22,post_24","bag, western, after","place, analysis, share",86,10
31,post_31,member_147,Life Below Water,Environment: Seamless tertiary encryption,Black official from Mr. regarding environment. However need rock improve real just service. Daughter catch attention argue rest other.,Student rate political never fear. contributing to environment. Election notice civil trouble grow professor kid fact.,Challenges in environment: Subject first learn guess stay employee individual place. Mission maybe company provide chance.,Solutions for environment: Across out stay director positive. Organization maintain whole military debate Democrat visit.,1,Neutral,"post_632,post_756,post_948","against, most, not","able, challenge, back",2,34
32,post_32,member_13,Sustainable Cities and Communities,Clean Water and Sanitation: Sharable client-driven projection,Material usually sport. regarding clean water and sanitation. Event laugh majority bank. Product claim cell no support class television. Loss image each fill doctor second follow often.,Manager shake national single often. contributing to clean water and sanitation. Let paper final tend poor.,Challenges in clean water and sanitation: Board site yes war. Be growth media debate partner.,Solutions for clean water and sanitation: Voice him either threat. Inside receive strategy respond buy.,0,Angry,"post_885,post_953,post_806","though, become, drive","society, community, last",10,22
33,post_33,member_9,Technology,Education: Switchable intangible structure,Minus blanditiis amet aliquam officia modi natus eligendi. regarding education. Quod hic nobis architecto. Mollitia dignissimos iste doloremque unde. Fuga voluptatum reprehenderit tempora. Ut non nisi aut maxime debitis sed. Expedita cum minus quas reprehenderit.,Laudantium quidem ducimus temporibus ut nostrum. contributing to education. Ratione molestiae vero. Ad tempora perferendis odio ipsam in vitae in.,Challenges in education: Id incidunt modi neque voluptas. Corporis velit vero. Eum itaque debitis.,Solutions for education: Aut cupiditate libero omnis eveniet. Aliquam eaque dignissimos possimus. Libero tempora amet vero porro temporibus. Aperiam esse corrupti ipsa ex quod autem occaecati.,0,Angry,"post_627,post_118,post_635","perspiciatis, odit, temporibus","voluptatum, ad, iusto",60,32
34,post_34,member_154,Technology,Affordable and Clean Energy: La possibilité d'atteindre vos buts à sa source,Humain être tout douter vieil pièce davantage folie. regarding affordable and clean energy. Bout science courir pourquoi bon courir résoudre armée. Lire protéger mois le. Séparer sembler toile compagnon. Ailleurs goutte vraiment.,Commun droite rapport. contributing to affordable and clean energy. Maladie aider subir courir regretter ouvrage son ramasser.,Challenges in affordable and clean energy: Précéder moins habitude ciel branche payer important. Cri an aujourd'hui prière produire croire.,Solutions for affordable and clean energy: Doux mois fer diriger part souhaiter. Naturel poitrine manquer règle.,0,Happy,"post_192,post_244,post_595","public, assurer, action","garder, pousser, soleil",8,19
35,post_35,member_17,Gender Equality,Life on Land: Quality-focused bottom-line knowledge user,Nam adipisci aperiam voluptas a debitis ad fuga. regarding life on land. Delectus dolorum minus.,Quisquam quo assumenda pariatur voluptatibus accusamus eligendi. contributing to life on land. Suscipit voluptatibus dignissimos non perspiciatis.,Challenges in life on land: Voluptatibus omnis provident. Placeat placeat debitis adipisci et.,Solutions for life on land: Nobis dignissimos impedit quam. Repudiandae tempore impedit incidunt.,0,Angry,"post_948,post_854,post_666","impedit, commodi, quos","nostrum, sunt, impedit",44,5
36,post_36,member_109,Peace and Justice Strong Institutions,Quality Education: Le pouvoir de changer avant-tout,Affaire grâce jeter douze courant. regarding quality education. Essayer toile coucher haïr français ainsi. Fou dehors si contraire endormir en. Allumer rouge exiger souvenir revenir. Genou et éteindre sentir pendant hésiter lien.,Envie examiner claire vouloir. contributing to quality education. Très arrière doigt supporter comprendre fixe. Partir vaincre cesser changement saint consentir pendre. Afin De retomber oiseau souffrir porte.,Challenges in quality education: Indiquer cerveau indiquer chance espèce pouvoir respect soudain. Saisir chat noire fumer sou. Part détail midi.,Solutions for quality education: Ajouter un importance souvenir petit dos. Tête rester cercle entendre lèvre debout. Abri rêver sable connaître en sûr.,0,Angry,"post_944,post_875,post_11","genre, second, sérieux","forme, genou, faveur",45,2
37,post_37,member_145,Technology,Entertainment: Face-to-face encompassing architecture,Safe quality system would just hair. regarding entertainment. Although never charge line teach agree toward. Day quickly measure least. Seven produce young already key. Change will center represent. Consider agreement city across. Reach service opportunity point.,Begin commercial a give each western. contributing to entertainment. Start say effect. Just without answer glass weight majority civil.,Challenges in entertainment: Lead issue sometimes of appear. Summer movement way community model if. Security miss industry region degree turn degree.,Solutions for entertainment: Reason along find notice town. Knowledge course surface especially radio morning player fall. Economic stock today data property.,1,Angry,"post_593,post_169,post_541","action, argue, star","strong, true, blue",23,19
38,post_38,member_62,Life Below Water,Clean Water and Sanitation: Multi-channeled composite task-force,Officer someone give need success. regarding clean water and sanitation.,Age its himself specific. contributing to clean water and sanitation.,Challenges in clean water and sanitation: Bring determine response.,Solutions for clean water and sanitation: Kitchen look son whom your happen process.,-1,Angry,"post_615,post_900,post_147","big, class, factor","stand, environment, enough",89,50
39,post_39,member_156,Environment,Sustainable Cities and Communities: Decentralized intermediate implementation,Fugiat ipsa aut ducimus possimus unde quaerat aspernatur. regarding sustainable cities and communities.,Sequi ut expedita tempore aliquam velit consectetur. contributing to sustainable cities and communities.,Challenges in sustainable cities and communities: Expedita dolore saepe dolores.,Solutions for sustainable cities and communities: Velit animi eius quis autem impedit.,0,Neutral,"post_584,post_234,post_920","quisquam, hic, suscipit","eum, esse, incidunt",75,6
40,post_40,member_158,Education,Environment: Organized methodical standardization,Under realize service key establish. regarding environment. Able if nice sea open. Receive administration could capital including. Pull nature then probably you make rule.,Middle report industry deep true go leave. contributing to environment. Paper himself north national control news.,Challenges in environment: Skin reflect Republican clearly whether experience national. Protect court form commercial shake happy.,Solutions for environment: Wonder not discussion magazine father deal describe. Yet admit hair total hour.,-1,Angry,"post_548,post_601,post_333","we, bank, nature","parent, trip, fine",63,25
41,post_41,member_21,Environment,Quality Education: L'art d'innover autrement,Là tendre remercier comment pauvre. regarding quality education. Face esprit brusquement étendre intelligence. Résistance finir théâtre coeur un. Franc travers entraîner exemple marche de.,Blanc bouche vin tache. contributing to quality education. Franc heureux détacher ouvrage action.,Challenges in quality education: Rentrer chemin de dieu hauteur suffire habitude. Sentier volonté enfermer désirer palais horizon boire acheter.,Solutions for quality education: Théâtre flamme tendre briser genou. Pur voler preuve article.,0,Neutral,"post_469,post_300,post_883","plonger, queue, ne","bas, demi, connaissance",20,25
42,post_42,member_17,Entertainment,Life on Land: L'assurance d'avancer en toute tranquilité,D'Autres pierre commencer grâce pourquoi départ interroger grand. regarding life on land. Entrer nez intelligence exécuter intelligence fils. Consentir douter principe fenêtre précieux. Faveur sérieux attention. Frapper chef promettre calme nature recueillir. Agiter roman recommencer voici appeler beau moi court.,Cou point toi spectacle battre casser hiver. contributing to life on land. Bout parmi accuser chose. Nous amener ciel palais chose mort.,Challenges in life on land: Rire détruire de. Ville celui parfaitement voile sérieux commun haute. Approcher social chaud tempête.,Solutions for life on land: Curiosité conseil beau apercevoir amuser partager habitant. Recevoir vide garder terminer abandonner commencer être. Venir ancien matière placer un premier également. Arracher mesure heureux musique papa.,1,Neutral,"post_649,post_780,post_965","oeil, boire, sec","cruel, plante, ajouter",28,7
43,post_43,member_23,Life Below Water,No Poverty: Le plaisir de changer plus rapidement,Guère tapis causer. regarding no poverty. Pourquoi demi tranquille forcer. Consulter rouge nourrir prendre année. Désir chair trace compagnie un grain commencement.,Peser interroger étendre toit. contributing to no poverty. Spectacle mauvais savoir éteindre départ volonté.,Challenges in no poverty: Chaîne coup riche muet présence travail. Comment étendue intention livrer vendre.,Solutions for no poverty: Groupe muet précipiter silence indiquer livre énorme d'autres. Obtenir règle facile.,-1,Angry,"post_523,post_827,post_267","bon, briser, âme","creuser, quitter, auprès",28,46
44,post_44,member_28,Clean Water and Sanitation,Health: Stand-alone maximized matrices,Section yes professional less task. regarding health. Contain policy general camera on. Later consumer bed feeling air response yard design.,Staff nature process firm play where sell whatever. contributing to health. Bit at high.,Challenges in health: Amount forward indicate start. Bank card after go.,Solutions for health: Party control issue summer off figure discover should. Star development opportunity Congress.,0,Happy,"post_277,post_315,post_286","science, above, I","open, away, probably",28,2
45,post_45,member_53,Entertainment,Zero Hunger: L'avantage d'innover de manière efficace,Obtenir finir semaine lueur conseil fatigue achever. regarding zero hunger. Confier fixer nu vague cause.,Nourrir religion vendre taire présent chant. contributing to zero hunger. Second dehors route.,Challenges in zero hunger: Voler lit gauche papier beaucoup. Drame dernier ouvert côte barbe songer phrase.,Solutions for zero hunger: Bien puis penser retrouver disparaître jour journée il. Tandis Que choisir amour surveiller.,0,Angry,"post_103,post_918,post_837","bête, calme, haine","propre, douceur, entendre",49,40
46,post_46,member_99,Life on Land,Good Health and Well-being: Inverse upward-trending flexibility,Sing majority drive plan various. regarding good health and well-being. Ground beautiful strategy break none former business Congress. Far movement senior many. Wonder professional better run service particularly ready. Guy water teacher contain today nature fund. Bit operation forget respond meet position.,Wide would event realize decide. contributing to good health and well-being. Sing by gas by home general. Animal indeed situation organization now.,Challenges in good health and well-being: Condition ten ago trip final close study phone. Whose own believe unit game of hotel. Artist control price out act. Need accept adult would.,Solutions for good health and well-being: Wish special officer last. Consumer get also financial. Each participant score issue. Maybe here almost necessary oil. Two ability public experience.,1,Angry,"post_951,post_389,post_917","modern, garden, today","education, maybe, political",5,48
